Desc	Chore	Freq	Locked Day
Free Space	Send a memes of your own choosing to the chores chat	monthly	any
Bathroom Restock & Composts (2nd floor)	Pick up any TP or paper towels on the floor. Empty composts bins if over half full. Add new roll of TP to toilets if current roll is low. Check hand paper towels, replace if needed	biweekly	any
Bathroom Restock & Composts (basement + 3rd floor)	Pick up any TP or paper towels on the floor. Empty composts bins if over half full. Add new roll of TP to toilets if current roll is low. Check hand paper towels, replace if needed	weekly	any
Bathroom Toilets (2nd floor)	Urinal: spray urinal and floor below urinal with the urine remover spray (found below sink), then wait 5 min before wiping down with paper towel. Toilets: clean the seat, the cover, inside bowl, outside bowl, the section behind the lid, then wipe. 	biweekly	any
Bathroom Toilets (basement + 3rd floor)	Toilets: clean the seat, the cover, inside bowl, outside bowl, the section behind the lid, then wipe. 	biweekly	any
Bathroom Showers (2nd floor)	Remove all hair from shower area (grab with paper towel). Scrub shower floors (esp around drains) with comet or bleach spray. Entire area should smell like bleach. Rinse with water. 	biweekly	any
Bathroom Showers (basement + 3rd floor)	Remove all hair from shower area (grab with paper towel). Scrub shower floors (esp around drains) with comet or bleach spray. Entire area should smell like bleach. Rinse with water. 	biweekly	any
Trash and Recycling (2nd and 3rd floor)	Take out trash and recycling if more than half full. Replace trash bags.	daily	any
Bathroom Floor (2nd floor)	Mop bathroom floor with swiffer. Get some water onto the dirty spots then use the swiffer to wipe up. If swiffer pad gets nasty, replace with one from the box	weekly	any
Bathroom Mirrors, Counters, and Sink (2nd floor)	Clean bathroom mirrors with spray and paper towel. Wipe down counters, sink handles, and inside of sink	biweekly	any
Fridge Clean	Get rid of all leftovers from last week, unless it's something that can last (i.e. deli day ham). Wash the containers. Strongly recommended: do with Gerard before he leaves for the day, as he knows what is old.	weekly	Monday
Bathroom Mirrors, Counters, and Sink (basement + 3rd floor)	Clean bathroom mirrors with spray and paper towel. Wipe down counters, sink handles, and inside of sink	biweekly	any
Sweep back stairs (1st to 3rd floor)	Sweep back stairs starting from the 3rd floor down to the 1st floor (to the freezer).	weekly	any
Sweep back stairs (1st to basement)	Sweep back stairs starting from the 1st floor (at the freezer) down to basement, then sweep basement halls to the gym.	weekly	any
Vacuum (3rd floor)	Vacuum 3rd floor hallway and sector.  Empty vacuum if it's more than 1/2 full	weekly	any
Vacuum (2nd floor)	Vacuum 2nd floor hallway.  Empty vacuum if it's more than 1/2 full	weekly	any
Vacuum (1st floor)	Vacuum carpet in living room. Empty vacuum if it's more than 1/2 full. Throw away any stray trash and bring back plates & utensils	weekly	any
Vacuum Stairs (2nd to 3rd floor)	Vacuum stairs from 2nd floor to 3rd floor. Empty vacuum if it's more than 1/2 full	weekly	any
Vacuum Stairs (1st to 2nd floor)	Vacuum stairs from 1st floor to 2nd floor. Empty vacuum if it's more than 1/2 full	weekly	any
Stair Wood (1st to 2nd floor)	Use alcohol wipes to get all the dirt and dust on all the wood parts of the stairs (ground next to carpet, railings). Probably going to need several wipes.	weekly	any
Stair Wood (2nd to 3rd floor)	Use alcohol wipes to get all the dirt and dust on all the wood parts of the stairs (ground next to carpet, railings). Probably going to need several wipes.	weekly	any
Kitchen Rags	Check the bin of rags underneath the sink. If it's mostly full, run them through the laundry. Put clean rags in the bin above the sink 	bimonthly	any
Plant Daddy (1st floor)	Water Techico's 3 plants (1 in living room, 2 in library) with about 1/2 - 1 cup each depending on how dry they look. Pick up random trash, bring back cups, plates, and utensils.	weekly	any
Sweep Gym	Sweep gym floor. Use alcohol wipe to clean the dumbbells and bar.	weekly	any
Clean Theater Room	Sweep ground, throw away stray trash, empty trash and recycling if they're more than half full, bring back plates and utensils	weekly	any
Clean Laundry Room	Run 'self clean' on the washing machine, empty lint collector for dryer, empty trash if needed, open the washers and driers and wipe the inside of the rims (get the gunk out). 	monthly	any
Clean windows (2nd and 3rd floor)	Spray and wipe down all windows on 2nd and 3rd floor. Window cleaner should be under 2nd floor sink and/or in chore closet.	monthly	any
Clean windows (1st floor)	Spray and wipe down all windows in living room. Window cleaner should be under 2nd floor sink and/or in chore closet.	monthly	any
Organize Chore Closet	Everything should look organized and there should be room to walk all the way to the back of the closet.	weekly	any
